Produktnummer;Lieferantenproduktnummer;Produktname;Lieferantennummer;Standardlieferant;EK (netto);Mindestabnahme;Abnahmeintervall
SW10890;00-291609801A;"Druckstange, Einsteller, Trommelbremse, hinten links, T3 Syncro 16"",  OE Ref. 291609801A";70007;yes;19.40;;1
101769;00-171501543;U-Scheibe, OE Ref. 171501543;70007;yes;1.23;60;1
102524;40-433837239;Blende Türgriff außen in Edelstahl, hochglänzend, Golf & Co, Polo, Passat, OE Ref. 433837239;70007;yes;5.87;20;1
102409;00-113301123A;Verschlussschraube für Sperrdifferential M24X1,5 Oben T3 OE Ref. 113301123A;70007;yes;4.35;1;1
SW11232;00-867711117;Schalthebel Polo 86C, 82 bis 94 mit 5-Gang Getriebe, OE Ref. 867711117;70007;yes;21.46;;1
102473;66-ZCP902908;Original VOLKSWAGEN CLASSIC Blechschild GTI Parking Only 40x30cm ZCP902908;70007;yes;17.05;1;1
103797;40-17S501541;Lager, Gummilager, für Aufhängung der Hinterachse, Golf 1 &Co, OE. Ref. 171501537B;70007;no;19.99;;1
102551;00-N 0424561;Sprengring für Führungsgelenk, unten, T3 Bus, OE Ref. N 0424561;70007;yes;0.23;1;1
SW11435;00-191858727;Knopf für Höhenversteller, 3-Punktgurt, Golf 2 &Co, und T4 Bus, OE Ref. 191858727;70007;yes;2.74;2;1
102054;50-191837202B;Schlüsselrohling für G60-Modelle Golf &Co OE Ref. 191837202B;70007;yes;41.17;2;1
101574;411809131;Verschlußstopfen für Karosserieöffnungen 40mm Golf 1 &Co OE Ref. 411809131;70007;yes;0.62;5;1
101490;40-255601151A;Abdeckkappe für Käseloch Felge ATIWE T3 OE Ref. 255601151A;70007;yes;17.64;;1
101132;41-171853601 041;VW Emblem, schwarz, für Kühlergrill Golf 1 & Co,  OE Ref. 171853601;70007;yes;12.94;;1
SW11120;00-191857215;Klammer u.a für Lautsprecherblende, Armaturenbrett, Golf 2 &Co, OE Ref. 191857215;70007;yes;0.58;;1
101719;40-191121101AC;Kühlwasserschlauch, Oben, ohne Klima, Golf 2 &Co, 16V, PL & KR, OE Ref. 191121101AC;70007;yes;22.05;2;1
102014;00-191837075;Fensterführung, vorne links, Golf 2 &Co ab 10/87, OE Ref. 191837075;70007;yes;7.94;2;1
SW10856;40-021115193B;Verschlussmutter für Ölsieb, T3 2,0L OE Ref. 021115193B;70007;yes;8.23;2;1
102160;00-861955671C;Fußpumpe für Scheibenwaschanlage vorne Polo 1 bis 1979 OE Ref. 861955671C;70007;yes;10.58;1;1
101361;40-155853902C BYQ;"Schriftzug """"Sportline""""  Rot /Schwarz für schwarzen Golf 1 Cabrio Rechts OE Ref.155853902 C BYQ";70007;yes;20.83;2;1
SW11221;00-191919045A;Tankanzeige, Golf 2 &Co, Passat 32b mit DZM, OE Ref. 191919045A;70007;yes;24.12;;1
101615;00-823955985C;Spritzwasserdüse vorne Golf 1 &Co und Passat bis Bj. 1978 OE Ref. 823955985C;70007;yes;2.15;2;1
102259;00-171419838;Spannring für Lenkmanschette OE Ref. 171419838;70007;yes;0.50;;1
103763;00-247803624;Deckblech für Kabinentür Unterholm T3 DOKA OE Ref. 247803624;70007;yes;17.35;2;1
102607;40-311133261A-sp;Ventillager, Dichtung für Einspritzventil  innen T3 1,9L und 2,1L Einspritzer OE Ref. 311133261A;70007;yes;1.49;30;1
SW11364;40-068105427;Pleuelmutter, Golf  &Co und T3 1,6-1,7 Liter und 2,1L WBX OE Ref. 068105427;70007;yes;4.00;2;1
103254;00-291415539;Klammer bzw. Schelle für Lenkung T3 OE Ref. 291415539;70007;yes;1.86;1;1
100160;40-861412375;Abdeckkappe für Domlager Polo OE Ref. 861412375;70007;yes;1.53;;1
SW11106;00-311971935;Massestecker (3-polig), Massestern 6,3mm Steckanschluss Golf, T3 und Co OE Ref. 311971935;70007;yes;2.44;;1
103602;00-171609819B;Druckstange Links für Bremsbelag der Trommelbremse Golf &Co ab Bj.79 OE Ref. 171609819B;70007;yes;5.70;;1
103247;00-025129638;Reduzierstück für Unterdruckanlage Golf &CO und T3 OE Ref. 025129638;70007;yes;5.17;1;1
102211;00-823411333C;Schelle, Stabilisator vorne Außen, Passat 32B, OE Ref. 823411333C;70007;yes;1.88;1;1
101784;171412031J;Federbein inkl. Stoßdämpfer von BILSTEIN Golf 1 &Co vorne OE Ref. 171412031J;70007;no;132.94;;1
101447;40-171837080-SP preis marke etc;Hebel für Türschloss, Golf 1 & Co, OE Ref. 171837080;70007;yes;1.94;20;1
101590;00-535853694;Spreizdübel u.a zur Nummernschildbefestigung Golf 1 Cabrio OE Ref. 535853694;70007;yes;1.79;10;1
SW11013;70-N90070906;Vorwärmschlauch Ansaugschlauch 42,5x650mm Golf &Co, OE Ref. N 90070906;70007;no;11.76;;1
102747;00-251853931A-SP;Steinschlagschutzfolie links hinten T3 OE Ref. 251853931A;70007;yes;6.88;;1
SW10886;531 121 281 L;Luftführungspappe, links, Golf 1 & Scirocco 53, OE Ref. 531121281L;70007;yes;18.23;;2
103708;00-321906059H;Relais, Benzinpumpe für KE-Jetronic, OE Ref. 321906059H;70007;yes;28.23;2;1
101627;00-251721488;Halteklammer für Kupplungsschlauch, T3 Diesel, OE Ref. 251721488;70007;yes;0.85;1;1
SW11197;00-321906059F;Relais 63 für Kraftstoffpumpe, K- Jetronik, Golf &Co und Passat, OE Ref. 321906059F;70007;yes;30.88;3;1
102414;66-ZCP904108-SP;GTI Kennzeichenhalter;70007;yes;6.30;20;1
100227;00-141711141D 01C;Schaltknauf 1 te Baureihe OE Ref. 141711141D;70007;yes;4.00;1;1
SW11098;00-253845302E;Schiebefensterscheibe für Schiebetür bzw. Seitenwand, T3 OE Ref. 253845302E;70007;yes;23.23;;1
102754;00-331845218A;Dichtung für Dreiecksfenster Passat 32b Hinten rechts OE Ref. 331845218A;70007;yes;17.35;1;1
101170;00-191957861-SP;Dichtung für Wegstreckensensor am Getriebe Golf 2 &Co ab Bj. 08/1986 OE Ref. 191957861;70007;yes;2.46;2;1
SW11200;40-021105311;Filzdichtring für Pilotlager, Schwungrad, T3 1,9-2,1L Benziner OE Ref. 021105311;70007;yes;0.85;2;1
SW10419;40-253853689;"Schriftzug ""CAMPING""  in schwarz / chrome für die Heckklappe T3 OE Ref. 253853689";70007;yes;16.80;;1
103125;00-025105251;Riemenscheibe an Kurbelwelle, 167,6x1x9,5,T3  OE. Ref. 025105251;70007;yes;101.17;1;1
103631;00-N90445801;Sechskantschraube  M10x95x32 u.a für Fahrschemel Golf 2 &Co OE Ref. N90445801;70007;yes;2.93;1;1
102149;00-531827705;Heckklappendichtung für Scirocco 1 OE Ref. 531827705;70007;yes;45.00;1;1
SW11263;00-171803194B;Querträger, Seitenteil, vorne rechts, Golf 1 &Co, Scirocco 53b, OE Ref. 171803194B;70007;yes;36.17;;1
SW10585;00-251711199;Passschraube für Schalthebel T3 OE Ref. 251711199;70007;yes;2.58;2;1
SW10241;00-020141059;Dichtung, Getriebegehäusedeckel, Golf &Co, 4 Gang 020 Getriebe, OE Ref. 020141059;70007;yes;1.88;3;1
101144;42-165853688A GX2;"Abdeckung, Emblem ""Wolfsburg"" für Seitenblinker, Golf 2 & Co, OE Ref. 165853688A GX2";70007;yes;15.46;4;1
SW11109;00-027253031BH;Abgaskrümmer, Golf 2 GTI 16V, OE Ref. 027253031BH;70007;yes;235.88;;1
100151;40-361827527;Dichtung für Heckklappenschloß Golf 1 und T3 bis 10/1983 OE Ref. 361827527;70007;no;0.94;;1
101578;40-3A0867301 01C-SP;Halter für Türverkleidung, unten, Golf 2 &Co und Passat, OE Ref. 3A0867301;70007;no;0.85;30;1
101163;00-171957803B;Tachowelle, bis 1.3L & BJ 07/1981, Golf 1 &Co, OE Ref 171957803B;70007;yes;27.06;2;1
SW10813;00-N0199123;Schraube, Bremssattelträger Scheibenbremse hinten, Golf 2 &Co OE Ref. N0199123;70007;yes;2.68;30;1
100893;40-171955275-SP;Abdeckkappe für Scheibenwischer Welle Golf 1 &Co und T3 OE Ref. 171955275;70007;no;1.55;50;1
101385;50-191853601G  WV9-SP;VW-Zeichen hinten in chrom Golf 2 ab Baujahr 08/1988 OE Ref. 191853601G;70007;yes;14.87;20;1
SW11212;00-191853220A;Zierleiste Blende Außenspiegel rechts mit Chromleiste Golf 2 &Co, ab 10/87, OE Ref. 191853220A;70007;yes;23.82;;1
100231;40-191837219B;Schlüsselrohling, AH Profil, Golf &Co, Passat, ab 08/1987, OE Ref. 191837219B;70007;yes;15.88;;1
102726;00-327853601;Emblem, VW Logo, hinten, Passat 32B, OE Ref. 327853601;70007;yes;6.76;1;1
SW11161;00-179813356;Eckteil, Aufnahme für Rückleuchte, Caddy hinten rechts OE Ref. 179813356;70007;yes;87.35;;1
100407;00-191121109L;Kühlerschlauch zwischen Ausgleichbehälter und Kühlmittelrohr Golf 2 &Co 1,3L OE Ref. 191121109L;70007;yes;10.29;1;1
101242;40-251259371C;Hebel für Heizungsblende T3 ab Bj. 01/1981 OE Ref. 251259371C;70007;yes;3.17;5;1
102741;40-533511413;Stabilisatorlager hinten innen, Scirocco 16V, OE Ref. 533511413;70007;yes;18.23;1;1
103542;00-531845261;Dichtung für Dreiecksscheibe feststehend, links, mit Nut, Scirocco 1 OE Ref. 531845261;70007;yes;45.29;1;1
SW11255;00-245827573;Schließzylinder für Heckklappe, T3 Pritsche und Doka, OE Ref. 245827573;70007;yes;29.11;;1
102789;40-191827594;Dichtung für Heckklappenschloß, Golf 2, OE Ref. 191827594;70007;no;1.82;;1
103552;00-076115643;Unterlegscheibe, 8,1X11,7 mm, für Rohr für Ölmessstab, Golf &Co, T3 Bus, OE Ref. 076115643;70007;yes;1.64;2;1
102871;66-ZCP902785;"Blechschild ""Im Golf seht Ihr mich wieder"" Golf1";70007;yes;10.58;2;1
102066;00-867845117C;Dichtung für Dreieckscheibe feststehend, links, Polo ab Bj. 10/90, OE Ref. 867845117C;70007;yes;20.29;1;1
102725;00-191711155C;Schaltstange am Unterboden für Golf 2 Syncro Country Rallye OE Ref. 191711155C;70007;yes;22.05;1;1
SW10722;00-025251251E;Linkes Abgasrohr Zylinder 4, T3 1,9L bis Bj. 12/85 OE Ref. 025251251E;70007;yes;65.88;;1
101971;00-7D0955243;Mutter M16x1 für Wischerwelle, Golf &Co, T3, T4, OE Ref. 7D0955243;70007;no;3.29;;20
102994;40-191853536A 6BX;Zierstreifen für Seitenteil rechts in satinschwarz Golf 2 &Co OE Ref. 191853536A 6BX;70007;yes;8.82;2;1
103164;40-193199073A;Abdeckblech für Rohrrahmen, Golf Country, links hinten, OE Ref. 193199073A;70007;yes;99.11;1;1
103189;50-N 90128802;Dichtung, Kühlmittelflansch am Kopf, T3 1,9/2,1 WBX, OE. Ref. N 901 288 02;70007;yes;0.85;3;1
101924;331827525B;Gummipuffer für Schließplatte VW Passat 32B OE Ref. 331827525B;70007;yes;6.17;1;1
SW11267;00-155853718B GRU;Radlauf Verbreiterung, Karmann, vorne rechts, Golf 1 Cabrio, OE Ref. 155853718B GRU;70007;yes;134.70;;1
102123;321711117A;Schalthebel für 4-Gang, Passat 1978 - 1988, OE Ref. 321711117A;70007;yes;32.35;2;1
103575;40-321971519A;Massestecker (8-polig), Massestern 6,3mm Steckanschluss Golf, T3 und Co OE Ref. 321971519A;70007;yes;6.47;1;1
102065;00-193839812;Sicherungsstange, Türschloss Rechts, Golf 2 &Co, 4-Türer mit Zentralverriegelung, OE Ref. 193839812;70007;yes;2.58;1;1
SW11085;00-191853717C;Verbreiterung für Radlauf, vorne links, Golf 2 GTI 16V, breite Stoßst., ab BJ90, OE Ref. 191853717C;70007;yes;92.64;;1
100236;40-171853339A;Muffe für Chromkeder, Golf 1 &Co und T3, OE Ref. 171853339A;70007;no;3.88;;1
100222;40-321853685C GX2;"Schriftzug""Volkswagen"" in Chrom / Schwarz OE Ref. 321853685C GX2";70007;yes;19.40;;1
101659;00-161945247-SP;Steckergehäuse für Rücklicht 6-polig Golf 1 & Co und Passat 32B OE Ref. 161945247;70007;yes;2.73;20;1
101265;40-251853705 1BG;Zierleiste links, A-Säule links, schwarz, T3, OE Ref. 251853705 1BG;70007;no;16.52;;1
102609;40-043133271;Druckplatte, Halter für Einspritzventil, T3 1,9L und 2,1L Einspritzer OE Ref. 043133271;70007;yes;9.70;1;1
SW10676;00-191422893C;Dehnschlauch, Servolenkung Golf 2 ab 89, OE Ref. 191422893C;70007;yes;158.82;;1
103435;40-049133379A;Dichtung für Luftmengenmesser K-Jetronic Golf &Co OE Ref. 049133379A;70007;no;5.87;;1
102129;00-165845321A;Dichtung für Seitenscheibe links mit Nut für Zierleiste Jetta 2 OE Ref. 165845321A;70007;yes;57.05;1;1
102489;40-251201311B-SP;Schwimmerventil für Tankentlüftung am Ausgleichbehälter T3 OE Ref. 251201311B;70007;yes;12.35;20;1
101728;40-155853687S F80;"Schriftzug """" Acapulco """" Links Golf 1 Cabrio OE Ref. 155853687S F80";70007;yes;25.20;1;1
100728;191845521;Dichtung für Heckscheibe, ohne Nut für Keder, Golf 2,  OE Ref. 191845521;70007;no;26.47;;1
102559;N90184501;Sechskantbundschraube / M8X75X33 für Lenkgetriebe Golf 2 &Co OE Ref. N90184501;70007;yes;2.01;40;1
101685;40-535121647-SP;Wasserstutzen für G60 Motor am Kühler Golf 2 OE Ref. 535121647;70007;yes;9.32;20;1
100280;00-874853687E;"Schriftzug"""" Polo GL Classic """" für VW Polo 82-94  OE Ref. 874853687E";70007;yes;6.17;1;1
102212;00-855411335A;Schelle Stabilisator vorne Innen Passat 32B ab Bj. 05/85 OE Ref.855411335A;70007;yes;5.17;1;1
103126;00-191837410;Tür, Steg, Dreiecksscheibe, rechts, Golf 2, OE.Ref. 191837410;70007;yes;20.58;1;1
SW11047;00-191853817B;Verbreiterung für Radlauf, hinten links, Golf 2 GTI, schm. Stoßstange, BJ88-89, OE Ref. 191853817B;70007;yes;55.87;;1
SW10664;00-191867840 8AX;Clip, Dachhimmel vorne, grau Golf 2, OE Ref. 191867840 8AX;70007;yes;0.41;;1
100982;40-861819699A-SP;Dichtung Doppeltülle zur Durchführung der Kühlwasserschläuche Golf 1 & Co OE Ref. 861819699A;70007;no;4.08;20;1
102733;40-871853679C;Schriftzug vorne G40 für Polo 86C bis 1990 OE Ref. 871853679C;70007;yes;23.23;1;1
SW11153;40-027121057;Kühlerschlauch Vergaservorwärmung für Startautomatik Golf &Co OE Ref. 027121057;70007;yes;21.50;;1
102037;00-193839410 03C;Steg zwischen Kurbel und Dreiecksfenster, hinten rechts, Golf 2 &Co, 4-Türer, OE Ref. 193839410;70007;yes;19.40;1;1
103369;00-036115611B;Ölmessstab, Golf &Co, OE Ref. 036115611B;70007;yes;14.11;1;1
102040;40-191837994;Blende rechts innen Außenspiegel Golf 2 & Co ab Bj. 08/87 OE Ref. 191837994;70007;yes;6.17;2;1
102748;00-251853932A-SP;Steinschlagschutzfolie Rechts hinten T3 OE Ref. 251853932A;70007;yes;3.92;20;1
SW11246;00-171711163E;Schaltfinger Umlenkwelle, Golf 1 &Co mit 5-Gang Getriebe, OE Ref. 171711163E;70007;yes;28.23;2;1
SW10553;00-1J0711603;Klemmschelle für Schaltstange am Unterboden T3 ab Bj. 08/82 und T4 OE Ref. 1J0711603;70007;yes;3.88;2;1
SW10460;40-191201661;Halteplatte für Spannband am Tank, Golf 2 & Co, OE Ref. 191201661;70007;yes;3.29;;1
103217;00-N 90278101;Dichtring 26X3mm für Thermostatgehäuse T3 OE Ref. N90278101;70007;yes;1.05;2;1
101253;40-251843312A;Anschlagpuffer für Schiebetür unten T3 OE Ref. 251843312A;70007;no;8.40;2;1
101178;40-251853601A-SP;VW Zeichen für Kühlergrill in schwarz 125mm Durchmesser T3 ab Bj. 08/1988 OE Ref. 251853601A;70007;yes;22.41;;1
103269;00-1H0711558;Klammer für Starterzug und Choke bzw. Kaltstartbeschleuniger, OE Ref. 1H0711558;70007;yes;0.79;1;1
SW11035;00-357412341;Federteller vorne, Golf 2 Country und G60, OE Ref. 357412341;70007;yes;5.40;;1
SW10611;00-025906235B;Steckergehäuse, 5 -polig, für Drosselklappenpotentiometer, Golf 2 &Co, OE Ref. 025906235B;70007;yes;6.47;2;1
101080;00-165853687P GX2;Schriftzug Jetta GL in Chrom/Schwarz OE Ref. 165853687P GX2;70007;yes;11.47;1;1
102095;00-155853284A;Zierleiste für Fensterschacht, rechts vorn, schwarz, Golf 1 Cabrio, OE Ref. 155853284A;70007;yes;24.70;2;1
SW11124;00-191419517;Kugellager für Lenksäule unten, Golf 2 &Co, bis Bj. 85 OE Ref. 191419517;70007;yes;3.76;;1
102143;331955453C;Wischwasserbehälter, Passat 82-88 Variant, Einbauort Kofferraum, OE Ref. 331955453C;70007;yes;18.52;1;1
101799;00-111711331;Anschlagplatte Handbremshebel Golf 1 & Co bis Bj. 07/1978 OE Ref. 111711331;70007;yes;2.74;1;1
SW10884;00-171857209A 01C;Lautsprecherblende für Golf 1 &Co, OE Ref. 171857209A 01C;70007;yes;16.17;;1
101460;00-191881477 C81;Blende für Sitz ohne Loch Golf &Co bis Bj. 07/1989 OE Ref. 191881477 C81;70007;yes;7.94;1;1
100213;00-831837565;Gummi zur Befestigung der Kurbelscheibe, Länge 350 mm, OE Ref. 831837565;70007;no;2.62;10;1
101152;40-255853689L;"Schriftzug "" Caravelle CL"" in Chrom für T3 Bus OE Ref. 255853689L";70007;yes;12.35;1;1
SW11225;00-341129614;Verschlussbügel für Luftfilter, 1,5L und 1,6L mit Vergaser, Golf &Co OE Ref. 341129614;70007;yes;3.93;2;1
102729;00-191129627R;Ansaugschlauch  Golf 2 &Co MKB RP OE Ref. 191129627R;70007;yes;107.64;1;1
101826;41-171867777;Lagerwinkel für Hutablage, Golf 1 OE Ref. 171867777;70007;yes;1.64;;1
SW11379;40-022133073A;Dichtung zwischen Drosselklappe und Ansaugkrümmer, T3 1,9 Motor Code GW,DH OE Ref. 022133073A;70007;yes;3.82;2;1
