Nummer;Name;Vorname;Nachname;E-Mail-Adresse;Telefonnummer;Faxnummer;Kommentar;Kundennummer;Standardlieferzeit;Straße;Hausnummer;PLZ;Stadt;Firma;Land
71;DF Automotive GmbH ;Leon;Szamecki;sales@df-automotive.de;+49 (0)461 – 43 04 15 20;;"Fahrwerke, Räder, Auspuffanlagen
Unsere Kundennummer : 505623
Bestellung per Mail";505623;0;Marie-Curie-Ring;13;24941;Flensburg;;DE
70061;DFF Federn & Fahrzeugteile GmbH;;;info@dff-autofedern.de;(03 60 75) 522-0;;info@dff-autofedern.de | Telefon: (03 60 75) 522-0 | Telefax: (03 60 75) 522-50 | E-Mail: info@dff-autofedern.de | Internet: www.dff-autofedern.de;;8;Heiligenstädter Straße;50;37351;Dingelstädt;DFF Federn & Fahrzeugteile GmbH;DE
38;diehr-rabenstein.de;;;;;;;;6;;;;;;
70063;dietzshop.de;;;;;;dietzshop.de;;0;;;;;;
66;Dobler;Hans-Georg;Gradel;m.staffa@autozentrum-dobler.de;07041 / 96 64-20;;Bestellung per Parts link | Telefon +49 (0)7041 96 64 - 0 | Telefax +49 (0)7041 96 64 - 65 | E-Mail info@autozentrum-dobler.de;;1;Industriestraße;27-36;75417;Mühlacker;Autozentrum Dobler GmbH;DE
40;eBay;;;;;;;;5;;;;;ww.ebay.de;
70043;Edelstahlboard.de;Sebastian;Rosendahl;info@edelstahlboard.de;21639896155;;Edelstahlboard.de;;10;;;;;;
27;Eisen Jourdan;Thomas;Schmöger;info@eisen-jourdan.de;07231-1541716;;;;3;;;;;;
35;EPYTEC;;;;;;www.epytec.de;;4;;;;;;
70046;federnshop.com;;;verkauf@gutekunst-co.com;;;Gutekunst & Co.KG;;0;;;72555;Metzingen;;DE
60;GM-Carsolution.de;;;gm-car-solution@gmx.de;1749014299;;GM-Carsolution.de Bestellung im Webshop;;4;Uckroer Hauptstr.;38;15926;Luckau;Ronny Grün & Andreas Eckstein GbR;DE
6;Gummiprofile24.de;;;;;;;;0;;;;;;
70064;Gutekunst Formfedern Gmbh;;;s.gaertner@gutekunst-formfedern.de;7445851614;;Gutekunst Formfedern Gmbh;;0;;;;;;
32;GYEON;Norbert;Geissler;info@gyeon.de;;;www.gyeon,de | Telefon: 0221-28585858 | Telefax: 0221-28585899 | E-Mail: info@gyeon.de;;0;Vietorstr.;87;51103;Köln;Gyeon Deutschland GmbH | diese vertr. d. d. Geschäftsführer Jens Lochner;DE
50;HEBEI LETI IMPORT AND EXPORT // CHINA - MAYLIA;Maylia;;maylia0501@gmail.com;;;;;30;;;;;;
70022;Heritage Parts Centre;Sarah;Bogun;TFischer@heritagepartscentre.com;0044 1273 444019;;"Bestellung per Mail, versand aus Bremen bis 500€ 6€ ab 500€ 0€

csv export erstellen, mit libre office öffne und als exel exportieren, dann per mail an Tom. Preise und Rückstände prüfen";209902;2;Registered in England & Wales:;3294341;;;Heritage Parts Centre | 47 Dolphin Road | Shoreham-By-Sea | W Sussex | BN43 6PB;UK
9;Hinterdobler Fabrikations GmbH;;;info@hinterdobler.de;;;Tel. 08532-7311 | Fax: 08532-7290 | info@hinterdobler.de | http://www.hinterdobler.de;;50;Reutern 36 -;;94086;Bad Griesbach;Hinterdobler Fabrikations GmbH;DE
70019;Hoffmann Speedster/ Preise Webshop abweichend!;;;info@hoffmann-speedster.com;;;"Hoffmann Speedster
Bestellung im Shop per vorkasse, keine rückstandverwaltung, wenn möglich emailbenchritigung nutzen und Offene Bestellung über Rückständeige SArtikel anlegen";;5;;;;;;
64;home.clonck.com;;;;;;;;5;Ligsalzstr.;3;80339;München;Clonck UG (haftungsbeschränkt);DE
31;https://www.elibuyukotomotiv.com/;;;;+90 532 133 64 06;;;;7;Valide Cami Sk. No.8 D:Z;2;34096;Fatih/İstanbul;Aksaray | İş Merkezi;TR
47;https://www.korni-performance.de/;;;;;;Tel.: 0152 0730 7707 | E-Mail: info@korni-performance.de | Umsatzsteuer-Identifikationsnummer: DE346504531;;0;Schillerstraße;40;66265;Heusweiler;Christoph Spiller | KORNI Performance;DE
18;https://www.oldtimerbedarf.de/;;;;;;;;0;;;;;;
19;hytec-hydraulik.de;;;;;;;;4;;;;;;
10;Ihr Lenkungsspezialist S.Böhm GmbH;;;shop@ihrlenkungsspezialist.de;;;Tel.: +49 (0)2546 93887 - 0 | Fax.: +49 (0)2546 93887 - 29 | shop@ihrlenkungsspezialist.de | www.ihrlenkungsspezialist.de;;30;Reisstraße;1;48653;Coesfeld;Ihr Lenkungsspezialist S.Böhm GmbH | Sebastian Böhm | UstID: DE815071922;DE
17;info@trikongmbh.de;;;;;;;;0;;;;;;
12;Instandhaltung24.com;;;info@instandhaltung24.com;9414607014;;;;7;;;;;;
70054;Internet;;;;;;Internet;;8;;;;;;
70013;JP Group as Automotive 14Uhr;Anders Lund;Hojvangsen;alc@jpgroup.dk;4560400451;;"JP Group a/s Automotive Bis 14 Uhr

CSV ERSTELLEN, in template datei einfügen, fettschrifft deaktivieren  und linksbündig, dann export als csv";;1;;;;;8800 Viborg;
61;kardanwelle24;Jens Walther Leiter;Onlineshop;sales@kardanwelle24.de;+49 (0)731 40342105;;Shop oder Mail - egal;;4;Lessingstr.;10a;89231;Neu-Ulm / Germany;kardanwelle24 GmbH;DE
59;KEI-TEC;Jens;Schadendorf;info@kei-tec.de;04193/761324;;;;10;Käthe-Kollwitz-Str.;9;24558;Henstedt-Ulzburg;KEI-TEC UG (haftungsbeschränkt);DE
70045;Klokkerholm Classic;Per Hovgaard, Gitte;Steen;gst@klokkerholm.com;+45 9647 7123 Gitte,;;"Klokkerholm Classic Ausendienstler:
Per Hovgaard

Direct: +45 9647 7127 | Mobile : +45 2122 5543 Per
pho@klokkerholm.com


bestellung per mail mit anschließender Bestellbestätigung";;15;Kløvervej;6;;;Klokkerholm Classic | 9320 Hjallerup | Dänemark;
29;Koch-Chemie;Julian;Vehlgut;Julian.Vehlgut@hv.koch-chemie.de;4915901331163;;;;5;Einsteinstr.;42;59423;Unna;Koch-Chemie GmbH | Besucher: Max-Planck-Straße 23;DE
74;Krüger Automotive;Matthias;Krüger;mail@kruger-automotive.de;+49 (0)152 02 676 031;;Bestellung per Mail;;0;Herrlinghausen;3;42929;Wermelskirchen;Krüger Automotive | +49 (0)152 02 676 031;DE
26;Lagerampel von Nimbits;;;;;;;;10;;;;;;
43;LIONTUNING;;;info@liontuning.de;;;Kommt per Nachtexpress, also nicht Freitags bestellen | www.liontuning-carparts.de;;0;;;;;;
34;LiquidElements;;;business@area52-shop.de;02333 - 306 89 45;;https://www.area52-shop.de/;;3;Thüngenfeld;4;58256;Ennepetal;AREA52 GmbH;DE
11;MaxRPM.de;;;;;;;;7;;;;;;
37;MK1GARAGE;Michael;Ehrt;info@mk1garage.de;05541 777 9546;;;;4;Wilhelmshäuserstr.;84;34346;Hann. Münden;MK1 Garage GmbH;DE
55;motorteile-online.de;;;;;;;;0;;;;;;
36;My Bus Parts Bernd Jäger GmbH;Patrick;Kulle;info@mybusparts.de;03605 5889598;;Rechnung liegt im Paket und muss nach Lieferung binnen 10 Tagen bezahlt werden;;5;;;;;;
70037;NK;;;;;;https://www.nkautomotive.com;;0;;;;;;
70008;Normfest GmbH;Andreas;Schlegel;info@normfest.de;+49 2051 275-0;;"Normfest GmbH

Bestellung per mail | tel. 015116803157 | andreas.schlegel@normfest.de";;3;;;42551;Velbert;;DE
41;OMECAR;;;info@omecar.de;1601515513;;www.omecar.de | Tel.: 01601515513 | E-Mail: info@omecar.de | Umsatzsteuer-Identifikationsnummer: DE309518061;;0;Krautgasse;94;6647;An der Poststrasse;Oliver Mengel;DE
56;online-teile.com;;;;;;;;10;;;;;;
54;originalteilemarkt.de;;;;;;;;8;;;;;;
70023;OTW-OLDTIMERWERK;Mimi&Thomas;;Lager@oldtimer-werk.de;4915123982350;;OldtimerWerk;;10;Zu den Mühlen;6;75399;Unterreichenbach;;DE
7;partworks.de;;;info@partworks.de;+49 52511846100;;bestellung und bezahlung im shop;;5;;;;;;
70060;Porschezentrum;;;;;;Porschezentrum;;0;;;;;;
44;PORT84;Janik;Buchmueller;janik@port84.de;;;"Bestellung per Mail
Mindestabnahme Keder 10 Stk. | www.port84.de";;4;;;;;;
42;POTRYKUS;Jakub;Sychowski;sales@potrykus.com.pl;;;;;7;;;;;;
24;Retroparts;;;info@retroparts.de;;;Tel.: +49 5344 8039171 | Fax: +49 5344 803522 | E-Mail: info(at)retroparts.de;;5;Bergstraße;35;38268;Lengede;Fa. Retroparts | Inh. Heinz Dieter Aulich | Deutschland/Germany | Kontakt:;DE
70062;rohrschellen.de;;;;;;rohrschellen.de;;0;;;;;;
8;ROSE PASSION;;;contact@rosepassion.fr;(+33) 3 82 468 911;;"My!PecsSfjm.tL7

buchhaltung@";;8;;;;;;
2;rpdi.de;;;info@rpdi.de;;;"Telefon: +49 3587 2423 665
Telefax: +49 3587 2423 668
E-Mail: info@rpdi.de";70133;5;Bielebohstrasse;10;2736;Beiersdorf;Rudolf & Partner Distribution;DE
70047;schlauch-profi.de;;;;;;schlauch-profi.de;;0;;;;;;
70;schrauben-expert.de;;;;;;;;6;;;;;;
70067;schraubenbude.de;;;;;;schraubenbude.de;;0;;;;;;
45;schraubenhimmel.de;;;;;;;;10;;;;;;
76;skoda-parts.com;;;;;;"q#BV9M8yBaCeQY6

Kundenkonto angelegt, jedoch wird noch VAT berechnet";;10;;;;;;
70014;STA-Stahlgruber;Eugen;Thomae;;;;Stahlgruber Komplett lieferung anklicken;;2;;;75179;Pforzheim;;DE
20;stahl-shop24.de;;;;;;;;0;;;;;;
73;Steinhof's Garage;Paul;Steinhof;info@steinhofsgarage.de;;;;;5;Kabisländer;9;78315;Radolfzell am Bodensee;Steinhofs Garage | Einzelunternehmen;DE
30;Stoff Kontor;;;info@stoffkontor.eu;04171 / 484180;;;;4;Porschestraße;11;21423;Winsen (Luhe);ATM Handel & Service GmbH;DE
58;Tarik Hasanovic / Bosnien;Tarik Hasanovic & Miroslav;Petric;tahasanovic@hotmail.com;15221675895;;Tarik Hauptansprechpartner, Miroslav Petric Autoglas Freund aus Karlsruhe;;6;;;;;;
21;tebak.de;;;info@tebak.de;;;;;15;;;;;;
70057;techniekwebshop.nl;;;;;;techniekwebshop.nl;;0;;;;;;
16;theo-schrauben.de;;;;;;;;6;;;;;;
70052;TK-carparts;;;mail@tk-carparts.de;;;"https://tk-carparts.de

bestellung und bezahlung im Shop, keine rückstandsverwaltung
email Benachrichtigung  nutzen";;3;;;;;;
52;TME Germany GmbH;;;tme@tme-germany.de;;;;80107431;0;;;;;;
70015;TOP- Governor/Topran (ab 100€);;;;;;"Topran

CSV ERSTELLEN, in template datei einfügen, fettschrifft deaktivieren  und linksbündig, dann export als csv";;1;;;;;;
13;Trimpop&Werner GbR;Maik;Werner;info@prodat-racing.de;4915146555419;;;;42;;;;;;
5;turbo-hose.de;;;info@turbo-hose.de;+90 531 300 99 02;;;;7;İbrahim Celebi Mh. Kumludere Cd.;131/A;;;Turbo Schlauch | ERDEM ILKAR | Manisa Merkez;TR
70032;Unbekannt, produktion oder Zukauf?;;;;;;Unbekannt, produktion oder Zukauf?;;0;;;;;;
46;UTS Auto Parts / Sherry Xu / China;Sherry;Xu;sherry@utsauto.com;;;Bezahlung via PayPal an: mark@utsauto.com | Web：www.utsauto.net/brakecaliper/brakecalipers.html | Mobile/WhatsApp:  86-(0)-182 5832 0757;;40;China;314408;;;UTS Auto Parts | Add: No.28 Lianhe Road | Chang‘an Town | Haining City | Zhejiang Province;
75;Vagart Studio Bt.;Tamás;BAZSÓ;vagartstudio.bt@gmail.com;+36 70 430 6818;;Bestellung per Mail in Englisch | tel.: +36 70 430 6818 | e-mail: vagartstudio.bt@gmail.com;;7;Colorchemia ltp.;9.;8182;Papkeszi;Vagart Studio Bt.;HU
79;verpackungskönig;;;;;;;;5;;;;;;
70016;vewib;;;matthias.gerken@entfallteiledienst.de;+49 228 42 21 79 3;;Vewib;;1;;;53227;Bonn;;DE
70007;Volkswagen Classic Parts;Friedrich;Gunst;friedrich.gunst@vw-classicparts.de;+49 171 8808041;;"Bestellung per Mail, Besprechung per Phone

ggf. bestände anpassen ectl. zusätzlich csv datei";2590544;2;Theodor-Heuss-Str.;28b;38436;Wolfsburg;Weser-Ems Vertriebsgesellschaft mbH;DE
70056;Webcon UK Ltd;Allan;Smith;sonia.alder@webcon.co.uk;+44 (0) 7768 365918;;bestellung per mail und vorkasse;;15;EORI: DE;660906457613586;;;Webcon UK Ltd | Unit A1 Dolphin Road | Sunbury | Middlesex TW16 7HE | United Kingdom;
72;wegertseder.com;;;;;;;;0;;;;;;
70018;WERK34;Florian Töpperwien & Steven;Herberth;kontakt@werk34.de;05543-94110;;"Bestellung per mail + CSV

preisentwicklung stichprobenartik beobachten | Tel. 05543-94110 | Fax 05543-941122 | info@werk34.de | www.werk34.de";191339;10;Hannoversche Str.;41;34355;Staufenberg;Volkswarenhaus Heussner & Stauber | GmbH & Co.KG;DE
3;Würth;;;;;;;KN 1894206 / PN 2205793;2;;;;;;
14;www.autofussmatten-online.de;;;;;;;;9;3-6 Matten: 10% Rabatt: Rabattcode:  Hkaman;787ab#k;;;7-10 Matten: 15% Rabatt.: Rabattcode: mncbaRT98$e | Mehr als 10 Matten: 20% Rabatt. Rabattcode: dfmQpodlhdf&Gha;
70038;www.autosensorberlin.com // ab 300€ 10%, ab 500€ 20% Rabatt per Mail;;;info@maf-shop.com;;;"www.autosensorberlin.com

wir bestellen nun bei autosensorberlin über die Mailadresse info@maf-shop.com 
Außerdem habe ich einen 20% Rabatt rausgehandelt, wenn wir über 500€ bestellen.
Daher: Einfach etwas seltener, dafür jedoch einen etwas größeren Lagerbestand bestellen und 20% absahnen :-)";;1;;;;;;
