ordernumber;propertyValueName
101812;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
101271;T3 Bus (1979-1992), T3 Syncro (1984-1992)
102440;T3 Bus (1979-1992), T3 Syncro (1984-1992)
102443;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
102697;Jetta 2 (1983-1992), Golf 2 (1983-1992)
102705;Scirocco 2 (1981-1992)
102706;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
102728;Golf 1 Cabrio (1979-1993)
102729;Jetta 2 (1983-1992), Golf 2 (1983-1992)
102752;Passat 32B (1980-1988)
102756;Passat 32B (1980-1988)
102800;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
102832;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992), Polo 86C (1981-1994)
100403;Passat 32B (1980-1988)
102841;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
102869;Golf 1 (1974-1983), Jetta 1(1979-1984)
102890;T3 Syncro (1984-1992)
103130;Passat 32B (1980-1988)
103126;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
103266;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
103378;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
100796;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
101259;T3 Syncro (1984-1992)
102799;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
102815;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
103514;Passat 32B (1980-1988)
103516;Passat 32B (1980-1988)
103544;T3 Bus (1979-1992)
103517;Passat 32B (1980-1988)
103518;Passat 32B (1980-1988), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
103560;Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
103565;Golf 1 (1974-1983)
103576;T3 Bus (1979-1992), T3 Syncro (1984-1992)
103584;T3 Bus (1979-1992), T3 Syncro (1984-1992)
103586;T3 Bus (1979-1992), T3 Syncro (1984-1992)
103720;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
103702;T3 Syncro (1984-1992)
103739;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
103745;Scirocco 2 (1981-1992), Golf 1 Cabrio (1979-1993)
103753;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
103754;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
101406;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
101416;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
101437;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
102876;
102957;
103313;
103109;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
103609;Caddy (14D)
103757;T3 Pritsche (1979-1992)
103758;T3 Pritsche (1979-1992)
101197;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
101746;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
102107;Golf 1 Cabrio (1979-1993)
102108;Golf 1 Cabrio (1979-1993)
102119;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
102266;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
102288;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
102730;Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 86C (1981-1994)
102750;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
103577;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW10199;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10235;Golf 2 (1983-1992)
SW10259;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10321;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW10326;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10329;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10343;T3 Pritsche (1979-1992)
SW10366;T3 Pritsche (1979-1992)
SW10367;T3 Pritsche (1979-1992)
SW10372;T3 Pritsche (1979-1992)
SW10395;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10396;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10443;Caddy (14D)
SW10494;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10538;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW10562;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10565;Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992)
SW10571;Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10578;Caddy (14D), Jetta 2 (1983-1992), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 (1983-1992)
SW10592;Caddy (14D), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984), Golf 2 (1983-1992)
SW10626;T3 Syncro (1984-1992)
102464;
102826;
102827;
101825;
103026;
SW10327;
103036;
SW10354;
SW10380;
SW10390;
SW10581;
SW10582;
SW10583;
SW10587;
SW10603;
SW10638;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10660;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10674;Scirocco 2 (1981-1992), Golf 1 Cabrio (1979-1993)
SW10675;Scirocco 2 (1981-1992), Golf 1 Cabrio (1979-1993)
SW10676;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW10678;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW10680;Jetta 2 (1983-1992), Golf 2 (1983-1992), Polo 86C (1981-1994)
SW10681;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10696;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10697;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10700;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10701;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10702;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10703;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10704;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10705;T3 Syncro (1984-1992)
SW10706;T3 Syncro (1984-1992)
SW10707;T3 Syncro (1984-1992)
SW10708;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10709;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10712;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10714;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10720;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10745;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10747;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10748;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10749;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10750;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10751;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10752;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10753;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10755;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10756;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10757;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10758;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10759;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10760;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10761;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10766;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW10774;T3 Syncro (1984-1992)
SW10776;T3 Syncro (1984-1992)
SW10779;T3 Syncro (1984-1992)
SW10781;T3 Syncro (1984-1992)
SW10786;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10791;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW10823;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW10824;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW10832;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10833;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10834;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10845;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10851;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10852;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10853;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10854;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10855;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10857;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10858;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10861;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10862;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10635;
SW10875;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10877;Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
SW10878;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10882;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10883;Golf 1 Cabrio (1979-1993)
SW10884;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
SW10887;Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984), T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10892;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10898;T3 Syncro (1984-1992)
SW10911;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10915;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10916;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10917;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10919;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10926;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10940;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10944;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW10955;T3 Pritsche (1979-1992)
SW10961;
SW10962;Golf 1 Cabrio (1979-1993)
SW10966;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW10969;Caddy (14D), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
SW10972;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW10991;Passat 32B (1980-1988)
SW10994;Passat 32B (1980-1988)
SW11039;Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Jetta 1(1979-1984)
SW11043;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
SW11046;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11056;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11073;T3 Pritsche (1979-1992)
SW11074;T3 Pritsche (1979-1992)
SW11075;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11078;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11079;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11080;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11081;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11085;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11089;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11091;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11092;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11093;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11097;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11098;T3 Bus (1979-1992), T3 Syncro (1984-1992)
SW11099;Caddy (14D), Scirocco 2 (1981-1992), Golf 1 Cabrio (1979-1993)
SW11102;Golf 1 (1974-1983)
SW11103;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
SW11104;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
SW11105;Golf 1 (1974-1983), Jetta 1(1979-1984)
SW10965;
SW11109;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11123;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW11127;Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW11128;Golf 2 (1983-1992)
SW11129;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11132;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11133;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11134;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11135;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11136;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11137;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11138;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11139;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11142;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11143;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11145;T3 Syncro (1984-1992)
SW11146;T3 Syncro (1984-1992)
SW11147;T3 Syncro (1984-1992)
SW11148;T3 Syncro (1984-1992)
SW11150;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW11158;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11161;Caddy (14D)
SW11162;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11169;Passat 32B (1980-1988)
SW11173;Passat 32B (1980-1988)
SW11174;Passat 32B (1980-1988)
SW11175;Passat 32B (1980-1988)
SW11178;Passat 32B (1980-1988)
SW11181;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11203;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11204;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11210;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11211;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11212;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11213;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11214;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11216;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11217;Golf 2 (1983-1992)
SW11219;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11220;Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW11224;Jetta 2 (1983-1992), Golf 2 (1983-1992)
SW11233;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11242;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11248;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11252;Scirocco 2 (1981-1992)
SW11254;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11255;T3 Pritsche (1979-1992)
SW11256;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11258;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992)
SW11259;T3 Syncro (1984-1992)
SW11262;Polo 86C (1981-1994)
SW11264;Jetta 2 (1983-1992), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992), Polo 86C (1981-1994)
SW11265;Golf 1 Cabrio (1979-1993)
SW11266;Golf 1 Cabrio (1979-1993)
SW11267;Golf 1 Cabrio (1979-1993)
SW11268;Golf 1 Cabrio (1979-1993)
SW11269;Golf 1 Cabrio (1979-1993)
AT_SW10781;T3 Syncro (1984-1992)
AT_101952;Jetta 2 (1983-1992), Golf 2 (1983-1992)
AT_103513;Caddy (14D), Scirocco 2 (1981-1992), Scirocco 1 (1974-1981), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Jetta 1(1979-1984)
AT_SW10531;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_SW10532;Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992)
AT_SW10571;Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_SW10572;Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_100347;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
AT_100346;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
AT_100945;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
AT_103594;Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992)
AT_103595;Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 (1983-1992)
AT_102914;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_102915;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_SW10639;Jetta 2 (1983-1992), Golf 2 (1983-1992), Polo 86C (1981-1994)
AT_SW10640;Jetta 2 (1983-1992), Golf 2 (1983-1992), Polo 86C (1981-1994)
AT_SW10547;Passat 1 (1973-1980), Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 1 (1974-1983), Jetta 1(1979-1984), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_102349;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
AT_SW10964;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11300;Passat 1 (1973-1980), Caddy (14D), Scirocco 2 (1981-1992), Jetta 2 (1983-1992), Scirocco 1 (1974-1981), Passat 32B (1980-1988), Golf 1 (1974-1983), Golf 1 Cabrio (1979-1993), Golf 2 Syncro (1986-1991), Jetta 1(1979-1984), Golf 2 (1983-1992), Polo 1 (1975-1981)
SW11318;Jetta 2 (1983-1992), Golf 2 (1983-1992), Polo 86C (1981-1994)
SW11320;Golf 2 (1983-1992)
SW11334;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11335;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11348;T3 Bus (1979-1992), T3 Pritsche (1979-1992)
SW11350;T3 Syncro (1984-1992)
SW11351;T3 Syncro (1984-1992)
SW11352;T3 Syncro (1984-1992)
SW11353;T3 Syncro (1984-1992)
SW11354;T3 Syncro (1984-1992)
SW11355;T3 Syncro (1984-1992)
SW11356;T3 Syncro (1984-1992)
SW11357;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11358;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11360;Golf 2 (1983-1992)
SW11361;Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11362;Caddy (14D), Jetta 2 (1983-1992), Passat 32B (1980-1988), Golf 2 Syncro (1986-1991), Golf 2 (1983-1992), T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11365;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11366;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11369;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11370;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11371;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
SW11373;T3 Bus (1979-1992), T3 Pritsche (1979-1992), T3 Syncro (1984-1992)
