Title;URL handle;Description;Vendor;Product category;Type;Tags;Published on online store;Status;SKU;Barcode;Option1 name;Option1 value;Option2 name;Option2 value;Option3 name;Option3 value;Price;Compare-at price;Cost per item;Charge tax;Tax code;Unit price total measure;Unit price total measure unit;Unit price base measure;Unit price base measure unit;Inventory tracker;Inventory quantity;Continue selling when out of stock;Weight value (grams);Weight unit for display;Requires shipping;Fulfillment service;Product image URL;Image position;Image alt text;Variant image URL;Gift card;SEO title;SEO description;Google Shopping / Google product category;Google Shopping / Gender;Google Shopping / Age group;Google Shopping / MPN;Google Shopping / AdWords Grouping;Google Shopping / AdWords labels;Google Shopping / Condition;Google Shopping / Custom product;Google Shopping / Custom label 0;Google Shopping / Custom label 1;Google Shopping / Custom label 2;Google Shopping / Custom label 3;Google Shopping / Custom label 4;HS Code
Bremsleitungssatz T3 Baujahr 08/82 bis 07/83 ohne Bremskraftverstärker;bremsleitungssatz-t3-baujahr-08-82-bis-07-83-ohne-bremskraftverst-rker;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/82 bis 07/83 ohne Bremskraftverstärker. Neuware in Top Zustand.;OldtimerWerk;;;;TRUE;active;100854;;;;;;;;69.95;0.0;33.0;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/8d/32/0c/100854_01_251698005B363Fp5k3K3rfF.jpg;1;;;FALSE;Bremsleitungssatz T3 Baujahr 08/82 bis 07/83 ohne Bremskraftverstärker;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/82 bis 07/83 ohne Bremskraftverstärker. Neuware in Top Zustand.;;;;100854;;;new;FALSE;;;;;;87089997
Bremsleitungssatz T3 Baujahr 08/86 bis 07/87 mit ABS;bremsleitungssatz-t3-baujahr-08-86-bis-07-87-mit-abs;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/86 bis 07/87 mit ABS. Neuware in Top Zustand.;OldtimerWerk;;;;TRUE;active;100855;;;;;;;;93.69;0.0;45.0;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/c6/f1/f1/100855_01_251698005E1Q6RSN5m1K2EQ.jpg;1;;;FALSE;Bremsleitungssatz T3 Baujahr 08/86 bis 07/87 mit ABS;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/86 bis 07/87 mit ABS. Neuware in Top Zustand.;;;;100855;;;new;FALSE;;;;;;87089997
Bremsleitungssatz T3 Baujahr 08/88 bis 07/92 mit ABS;bremsleitungssatz-t3-baujahr-08-88-bis-07-92-mit-abs;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/88 bis 07/92 mit ABS. Neuware in Top Zustand.;OldtimerWerk;;;;TRUE;active;100856;;;;;;;;93.69;0.0;43.19;TRUE;;;;;;shopify;2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/4b/09/20/100856_01_251698005F_1fLWNS56f6j67H.jpg;1;;;FALSE;Bremsleitungssatz T3 Baujahr 08/88 bis 07/92 mit ABS;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Baujahr 08/88 bis 07/92 mit ABS. Neuware in Top Zustand.;;;;251698005F;;;new;FALSE;;;;;;87089997
Bremsleitungssatz T3 Syncro 14 Zoll Bereifung mit ABS;bremsleitungssatz-t3-syncro-14-zoll-bereifung-mit-abs;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Syncro 14 Zoll Bereifung mit ABS. Neuware in Top Zustand.;vewib;;;;TRUE;active;100857;;;;;;;;93.69;0.0;44.91;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/44/bd/f2/100857_01_251698005H_1g9afHEFgt3GGT.jpg;1;;;FALSE;Bremsleitungssatz T3 Syncro 14 Zoll Bereifung mit ABS;Angeboten wird ein neuer Bremsleitungssatz. Passend für T3 Syncro 14 Zoll Bereifung mit ABS. Neuware in Top Zustand.;;;;251698005H;;;new;FALSE;;;;;;87089997
Kupplungszug 1,6L bis 2L Hubraum T3 Luftgekühlt bis Bj. 12/82 OE Ref. 251721335;kupplungszug-1-6l-bis-2l-hubraum-t3-luftgek-hlt-bis-bj-12-82-oe-ref-251721335;Angeboten wird ein neuer Kupplungszug. Passend für T3 mit 1,6L und 2L Hubraum bis Bj. 12/82. Neuware in Top Zustand.;JP Classic Line;;;;TRUE;active;101000;5710412132491;;;;;;;12.89;0.0;3.89;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/a5/b6/89/101000_01_251721335mNIoDgm1HLRjs.jpg;1;;;FALSE;Kupplungszug 1,6L bis 2L Hubraum T3 Luftgekühlt bis Bj. 12/82 OE Re...;Angeboten wird ein neuer Kupplungszug. Passend für T3 mit 1,6L und 2L Hubraum bis Bj. 12/82. Neuware in Top Zustand.;;;;1170201100;;;new;FALSE;;;;;;85443000
Abgaskrümmer T3 TD ab Bj. 08/1984 OE Ref. 068129591H;abgaskr-mmer-t3-td-ab-bj-08-1984-oe-ref-068129591h;Abgaskrümmer für T3 Turbodiesel ab Bj. 08/1984.;JP Classic Line;;;;TRUE;active;101128;5710412434465;;;;;;;249.95;0.0;152.96;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/c2/5e/7e/101128_01_068129591H_1JMCGJShLgGdEu.jpg;1;;;FALSE;Abgaskrümmer T3 TD ab Bj. 08/1984 OE Ref. 068129591H;Abgaskrümmer für T3 Turbodiesel ab Bj. 08/1984.;;;;1120100500;;;new;FALSE;;;;;;87089235
Tankdeckel mit Gewinde ohne Schloß bis Bj. 81 OE Ref. 171201551M;tankdeckel-mit-gewinde-ohne-schlo-bis-bj-81-oe-ref-171201551m;Angeboten wird ein neuer Tankdeckel mit Gewinde und ohne Schloß. Dieser wurde bis Baujahr 07/1981 verbaut. Neuware in Top Zustand.;Handelsware;;;;TRUE;active;100315;;;;;;;;23.79;0.0;7.0;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/04/4d/7a/100315_01_171201551M_1ZgKRsxUaqdNPT.jpg;1;;;FALSE;Tankdeckel mit Gewinde ohne Schloß bis Bj. 81 OE Ref. 171201551M;Angeboten wird ein neuer Tankdeckel mit Gewinde und ohne Schloß. Dieser wurde bis Baujahr 07/1981 verbaut. Neuware in Top Zustand.;;;;171 201 551 M;;;new;FALSE;;;;;;87089997
Schließbolzen für Fahrer- und Beifahrertür T3 bis Bj. 1981 OE Ref. 251837035;schlie-bolzen-f-r-fahrer-und-beifahrert-r-t3-bis-bj-1981-oe-ref-251837035;Angeboten wird ein neuer Schließbolzen für Fahrer- und Beifahrertür. Passend für T3 bis Bj. 1981. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;101564;;;;;;;;7.95;0.0;3.58;TRUE;;;;;;shopify;3;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/f6/7d/79/101564_01_251837035b4iCpSOi5Zw7z.jpg;1;;;FALSE;Schließbolzen für Fahrer- und Beifahrertür T3 bis Bj. 1981 OE Ref. ...;Angeboten wird ein neuer Schließbolzen für Fahrer- und Beifahrertür. Passend für T3 bis Bj. 1981. Neuware in Top Zustand;;;;360-4132-08;;;new;FALSE;;;;;;87089997
Kühlwasserrohr, Golf 1 &Co mit Vergaser ab Bj. 08/1981, OE Ref. 027121065;k-hlwasserrohr-golf-1-co-mit-vergaser-ab-bj-08-1981-oe-ref-027121065;Angeboten wird ein neues Kühlwasserrohr. Passend für Golf 1 &Co mit Vergaser ab Bj. 08/1981 Neuware in Top Zustand;Volkswagen Original Teile;;;;TRUE;active;101602;;;;;;;;50.39;0.0;0.0;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/a4/e2/b7/101602_01_027121065vSuvlFVjDjOxb.jpg;1;;;FALSE;Kühlwasserrohr, Golf 1 &Co mit Vergaser ab Bj. 08/1981, OE Ref. 027...;Angeboten wird ein neues Kühlwasserrohr. Passend für Golf 1 &Co mit Vergaser ab Bj. 08/1981 Neuware in Top Zustand;;;;101602;;;new;FALSE;;;;;;87089997
Keilriemenscheibe für Wasserpumpe Golf 1 & Co bis Bj.07/1984 OE Ref. 049121031;keilriemenscheibe-f-r-wasserpumpe-golf-1-co-bis-bj-07-1984-oe-ref-049121031;Angeboten wird eine neue Keilriemenscheibe für die Wasserpumpe. Passend für Golf & Co bis Bj. 86 ohne Servolenkung. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;101614;;;;;;;;33.29;0.0;15.1;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/e9/1a/b5/101614_01_049121031_1lZdHExoKyT02Z.jpg;1;;;FALSE;Keilriemenscheibe für Wasserpumpe Golf 1 & Co bis Bj.07/1984 OE Ref...;Angeboten wird eine neue Keilriemenscheibe für die Wasserpumpe. Passend für Golf & Co bis Bj. 86 ohne Servolenkung. Neuware in Top Zustand;;;;49121031;;;new;FALSE;;;;;;87089997
Schriftzug Passat in Chrom OE Ref. 321853687 BS GX2;schriftzug-passat-in-chrom-oe-ref-321853687-bs-gx2;"Angeboten wird ein neuer Schriftzug "" Passat"" in Chrom. Passend für Passat. Neuware in Top Zustand";Volkswagen Classic Parts;;;;TRUE;active;101650;;;;;;;;47.69;0.0;21.74;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/2f/5e/76/101650_01_321853687BS_1lCkP7AHDdkcla.jpg;1;;;FALSE;Schriftzug Passat in Chrom OE Ref. 321853687 BS GX2;"Angeboten wird ein neuer Schriftzug "" Passat"" in Chrom. Passend für Passat. Neuware in Top Zustand";;;;321853687BS GX2;;;new;FALSE;;;;;;87089997
Heckscheibendichtung Polo Steilheck mit Nut für Zierleiste bis Bj. 1984 OE Ref. 867845521A;heckscheibendichtung-polo-steilheck-mit-nut-f-r-zierleiste-bis-bj-1984-oe-ref-867845521a;Angeboten wird eine neue Heckscheibendichtung mit Nut für Zierleiste. Passend für Polo Steilheck bis Bj. 1984. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102025;;;;;;;;76.95;81.99;45.29;TRUE;;;;;;shopify;2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/8d/d1/5e/867845521AZVAyG1vmRUJl7.jpg;1;;;FALSE;Heckscheibendichtung Polo Steilheck mit Nut für Zierleiste bis Bj. ...;Angeboten wird eine neue Heckscheibendichtung mit Nut für Zierleiste. Passend für Polo Steilheck bis Bj. 1984. Neuware in Top Zustand;;;;867845521A;;;new;FALSE;;;;;;87089997
Fensterführung, Vorne Rechts Oben, ohne Nut für Zierl., Golf 2, 2-Türer, OE Ref. 191837432H;fensterf-hrung-vorne-rechts-oben-ohne-nut-f-r-zierl-golf-2-2-t-rer-oe-ref-191837432h;Angeboten wird ein neue Passend für Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102044;;;;;;;;129.09;0.0;75.88;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/7c/6f/db/191837432H.jpg;1;;;FALSE;Fensterführung, Vorne Rechts Oben, ohne Nut für Zierl., Golf 2, 2-T...;Angeboten wird ein neue Passend für Neuware in Top Zustand;;;;191837432H;;;new;FALSE;;;;;;87089997
Zugstange für Türschloss innen Golf 2 &Co 4- Türer beidseitig. OE Ref. 193839081;zugstange-f-r-t-rschloss-innen-golf-2-co-4-t-rer-beidseitig-oe-ref-193839081;Angeboten wird eine neue Zugstange für das Türschloss, Betätigung innen. Passend für Golf 2 &Co. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102059;;;;;;;;1.89;0.0;1.11;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/1b/d1/3f/193839081_1Lilm696zzwVDM.jpg;1;;;FALSE;Zugstange für Türschloss innen Golf 2 &Co 4- Türer beidseitig. OE R...;Angeboten wird eine neue Zugstange für das Türschloss, Betätigung innen. Passend für Golf 2 &Co. Neuware in Top Zustand;;;;193839081;;;new;FALSE;;;;;;87089997
Heckklappenschloß Polo 1 bis Bj. 07/1981 Komplett mit zwei Schlüsseln OE Ref. 863827505;heckklappenschlo-polo-1-bis-bj-07-1981-komplett-mit-zwei-schl-sseln-oe-ref-863827505;Heckklappenschloß, incl. zwei Schlüsseln. Profil VB. Passend für Polo 1 bis Bj. 07/1981;Volkswagen Classic Parts;;;;TRUE;active;102060;;;;;;;;59.95;0.0;35.29;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/c6/2e/51/863827505U6qjTIzg5C33d.jpg;1;;;FALSE;Heckklappenschloß Polo 1 bis Bj. 07/1981 Komplett mit zwei Schlüsse...;Angeboten wird ein neues Heckklappenschloß, Komplett mit zwei Schlüsseln. Profil VB. Passend für Polo 1 bis Bj. 07/1981 Neuware in Top Zustand;;;;863827505;;;new;FALSE;;;;;;87089997
Sicherungsstange Türschloss Rechts Golf 2 &Co, 4-Türer, ohne ZV, OE Ref. 193839184;sicherungsstange-t-rschloss-rechts-golf-2-co-4-t-rer-ohne-zv-oe-ref-193839184;Angeboten wird eine neue Sicherungsstange für Türschloss Rechts . Passend für Golf 2 &Co 4-Türer. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102063;;;;;;;;3.19;0.0;1.82;TRUE;;;;;;shopify;0;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/20/38/29/193839184_1ClmtAciWUPuQ0.jpg;1;;;FALSE;Sicherungsstange Türschloss Rechts Golf 2 &Co, 4-Türer, ohne ZV, OE...;Angeboten wird eine neue Sicherungsstange für Türschloss Rechts . Passend für Golf 2 &Co 4-Türer. Neuware in Top Zustand;;;;193839184;;;new;FALSE;;;;;;87089997
Dichtung für Dreiecksscheibe feststehenend, rechts, Polo ab Bj. 10/90, OE Ref. 867845118C;dichtung-f-r-dreiecksscheibe-feststehenend-rechts-polo-ab-bj-10-90-oe-ref-867845118c;Angeboten wird eine neue Dichtung für 3-Ecksscheibe feststehenend, Montage rechts. Passend für Polo ab Bj. 10/90. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102067;;;;;;;;34.49;0.0;20.29;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/3c/d6/ab/867845118C_1SDhlFrZRGCX5g.jpg;1;;;FALSE;Dichtung für Dreiecksscheibe feststehenend, rechts, Polo ab Bj. 10/...;Angeboten wird eine neue Dichtung für 3-Ecksscheibe feststehenend, Montage rechts. Passend für Polo ab Bj. 10/90. Neuware in Top Zustand;;;;867845118C;;;new;FALSE;;;;;;87089997
Sicherungsstange für Türschloss Rechts Polo Bj. 81-90 OE Ref. 867837184;sicherungsstange-f-r-t-rschloss-rechts-polo-bj-81-90-oe-ref-867837184;Angeboten wird eine neue Sicherungsstange für Türschloss Rechts . Passend für Polo 81-90. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102069;;;;;;;;1.29;0.0;0.74;TRUE;;;;;;shopify;2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/f0/71/81/867837184_1AxtLPH6QFLsZ1.jpg;1;;;FALSE;Sicherungsstange für Türschloss Rechts Polo Bj. 81-90 OE Ref. 86783...;Angeboten wird eine neue Sicherungsstange für Türschloss Rechts . Passend für Polo 81-90. Neuware in Top Zustand;;;;867837184;;;new;FALSE;;;;;;87089997
Dichtung für Seitenscheibe Links Passat 1 bis Bj. 80 OE Ref. 321845321A;dichtung-f-r-seitenscheibe-links-passat-1-bis-bj-80-oe-ref-321845321a;Angeboten wird eine neue Dichtung für die Seitenscheibe, Montage Links. Passend für Passat 1 bis Bj. 80. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102078;;;;;;;;56.95;0.0;30.88;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/34/e5/2a/321845321A3urzgExEfpbjc.jpg;1;;;FALSE;Dichtung für Seitenscheibe Links Passat 1 bis Bj. 80 OE Ref. 321845...;Angeboten wird eine neue Dichtung für die Seitenscheibe, Montage Links. Passend für Passat 1 bis Bj. 80. Neuware in Top Zustand;;;;321845321A;;;new;FALSE;;;;;;87089997
Dichtung für Seitenscheibe Links Passat 32 B Schrägheck OE Ref. 321845321C;dichtung-f-r-seitenscheibe-links-passat-32-b-schr-gheck-oe-ref-321845321c;Dichtung für die Seitenscheibe, Montage Links. Passend für Passat 32 B Schrägheck.;Volkswagen Classic Parts;;;;TRUE;active;102079;;;;;;;;54.95;0.0;32.35;TRUE;;;;;;shopify;1;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/dc/87/af/321845321CuPDvXZBurODdx.jpg;1;;;FALSE;Dichtung für Seitenscheibe Links Passat 32 B Schrägheck OE Ref. 321...;Angeboten wird eine neue Dichtung für die Seitenscheibe, Montage Links. Passend für Passat 32 B Schrägheck. Neuware in Top Zustand;;;;321845321C;;;new;FALSE;;;;;;87089997
Dichtung für Seitenscheibe Links mit Nut für Zierleiste Passat 32 B Schrägheck OE Ref. 321845321D;dichtung-f-r-seitenscheibe-links-mit-nut-f-r-zierleiste-passat-32-b-schr-gheck-oe-ref-321845321d;Angeboten wird eine neue Dichtung für die Seitenscheibe mit Nut für Zierleiste, Montage Links. Passend für Passat 32 B Schrägheck. Neuware in Top Zustand;Volkswagen Classic Parts;;;;TRUE;active;102080;;;;;;;;54.95;0.0;32.35;TRUE;;;;;;shopify;2;deny;100;g;TRUE;manual;https://www.oldtimer-werk.de/media/image/5c/g0/f6/321845321DijbkFTEAqMryY.jpg;1;;;FALSE;Dichtung für Seitenscheibe Links mit Nut für Zierleiste Passat 32 B...;Angeboten wird eine neue Dichtung für die Seitenscheibe mit Nut für Zierleiste, Montage Links. Passend für Passat 32 B Schrägheck. Neuware in Top Zustand;;;;321845321D;;;new;FALSE;;;;;;87089997
